OBJECTID,AspenRank,ACRES,Comment,Shape_STAr,Shape_STLe
"4713",S1,0.2524624,Vegetation,10997.21777340000,527.56572272900
"4714",S1,6.7409567,Vegetation,293634.89550799999,2729.08260854000
"4715",S1,1.5312088,Vegetation,66699.19042970000,1232.27883574000
"4716",S1,0.1534703,Vegetation,6685.14062500000,329.17993098500
"4717",S1,0.1886455,Vegetation,8217.36035156000,403.21074913300
"4718",S1,0.2069322,Vegetation,9013.93066406000,387.82230681200
"4719",S1,0.0033305,Vegetation,145.07617187500,106.55586771800
"4720",S1,0.0000294,Vegetation,1.28222656250,13.85901285710
"4721",S1,0.6893644,Vegetation,30028.59375000000,998.05548087500
"4722",S1,0.1944740,Vegetation,8471.25097656000,501.37290672100
"4723",S1,0.0067697,Vegetation,294.88769531300,146.30350566200
"4724",S1,0.9412326,Vegetation,40999.93261720000,1308.07858655000
"4725",S1,0.2149762,Vegetation,9364.32421875000,367.23439503200
"4726",S1,0.2938378,Vegetation,12799.52343750000,475.97241736000
"4727",S1,0.0369632,Vegetation,1610.11035156000,173.83100223400
"4728",S1,6.0975428,Vegetation,265607.90429699997,4737.16678913000
"4729",S1,5.7811606,Vegetation,251826.34179700000,3156.25426588000
"4730",S1,0.0005041,Vegetation,21.95703125000,22.76264998480
"4731",S1,0.2797648,Vegetation,12186.50683590000,600.87394889600
"4732",S1,0.1728855,Vegetation,7530.86328125000,386.19377387500
"4733",S1,0.0816633,Vegetation,3557.24023438000,313.27398245200
"4734",S1,2.9350888,Vegetation,127853.56835900000,2513.23902140000
"4735",S1,0.0013530,Vegetation,58.93652343750,75.21970274530
"4736",S1,0.0292556,Vegetation,1275.53027344000,164.20385709800
"4737",S1,1.0912606,Vegetation,47535.12109380000,1004.26079651000
"4738",S1,0.5847125,Vegetation,25469.97167970000,864.97769885300
"4739",S1,1.0884803,Vegetation,47414.00585940000,1290.48403164000
"4740",S1,1.3728079,Vegetation,59799.27246090000,1150.36725278000
